symbol,file,n_rows,iso_mean,mtad_mean,tranad_mean,graph_score,composite_score,iso_mean_n,mtad_mean_n,tranad_mean_n,graph_score_n
BAJFINANCE_NS,BAJFINANCE_ohlcv.csv,1936,0.16184776735403178,0.2739736593332507,0.24770335822808212,,0.31138520894251637,0.1063272223373927,0.8803644076847394,0.38115423769989853,0.0
COALINDIA_NS,COALINDIA_ohlcv.csv,1936,0.19801012260024414,0.21762383523226178,0.11864039505604046,,0.31029963336400257,0.705051700337614,0.4986529602134726,0.09626547346097283,0.0
WIPRO_NS,WIPRO_ohlcv.csv,1936,0.19124106937396662,0.15563828143945485,0.32654943516089885,,0.3095223892313563,0.5929794132350417,0.07876530593869767,0.5551961229194017,0.0
KOTAKBANK,KOTAKBANK_ohlcv.csv,1936,0.16630587124923243,0.1912479042921391,0.22088362881280066,0.7509375627183478,0.3086704499607634,0.18013812069707114,0.31998346233690833,0.3219533687398633,0.7509375627183478
BEL_NS,BEL_ohlcv.csv,1936,0.19438721048069882,0.17182771100963243,0.25575106097787215,,0.3062584911413436,0.6450687110426165,0.18843185225996936,0.3989184361577761,0.0
POWERGRID,POWERGRID_ohlcv.csv,1936,0.18021797662879835,0.2292542340605102,0.2150324793401423,,0.30618103453741286,0.41047483340709584,0.5774368152161526,0.30903775994184696,0.0
VEDL,VEDL_ohlcv.csv,1936,0.18776291592387298,0.19142303925817045,0.24978116841902157,,0.30313771813778756,0.5353931306316678,0.321169819569663,0.3857407183065054,0.0
HDFCBANK_NS,HDFCBANK_ohlcv.csv,1936,0.1706350392952914,0.16785698315765588,0.429151766335669,,0.29786623388457095,0.251814283958682,0.1615343011127628,0.7816766764260586,0.0
POWERGRID_NS,POWERGRID_ohlcv.csv,1936,0.18021797662879835,0.18191021521251216,0.3181057535032738,,0.29604853102393636,0.41047483340709584,0.25673033117835903,0.5365578554106887,0.0
ONGC_NS,ONGC_ohlcv.csv,1936,0.176254763758244,0.23203738147286193,0.21606301887198961,,0.2940349629922715,0.3448576317350631,0.5962897441159971,0.31131253441247475,0.0
BAJAJFINSV_NS,BAJAJFINSV_ohlcv.csv,1936,0.17185537003538134,0.22945049147734795,0.24829200301715773,,0.2898782816506279,0.2720187723105436,0.5787662550831493,0.382453590220667,0.0
JSWSTEEL_NS,JSWSTEEL_ohlcv.csv,1936,0.1826194978937581,0.1651195090560725,0.3258773488921598,,0.2863923704527721,0.45023578249295637,0.1429907613874603,0.5537125847930704,0.0
ITC_NS,ITC_ohlcv.csv,1936,0.1734822306643881,0.1876354601731841,0.33538857508406555,,0.28558012771905344,0.2989540002360863,0.2955129108213594,0.5747073102325985,0.0
NESTLEIND_NS,NESTLEIND_ohlcv.csv,1936,0.17821967044990167,0.187664043871368,0.29867139313793334,,0.28495511250064537,0.3773897421374987,0.2957065356459605,0.4936591742384965,0.0
ADANIPORTS,ADANIPORTS_ohlcv.csv,1936,0.17044795237646848,0.2177889308582326,0.2658695713081615,,0.2770438619542035,0.24871676674636908,0.49977131135947706,0.4212536579215315,0.0
NTPC_NS,NTPC_ohlcv.csv,1936,0.175706329008633,0.20272274440281515,0.25447603503762667,,0.2711438970744812,0.33577743474727373,0.3977135688284146,0.3961039915211308,0.0
BEL,BEL_ohlcv.csv,1936,0.19438721048069882,0.2066080283776882,0.09655411251510977,0.00947021288981753,0.26813574742211677,0.6450687110426165,0.4240323265804851,0.047513038331073836,0.00947021288981753
SUNPHARMA,SUNPHARMA_ohlcv.csv,1936,0.18152266247835686,0.16600739530051217,0.2867645389135542,,0.2610239766321149,0.43207595282845906,0.14900526718161317,0.46737642895986314,0.0
MARUTI_NS,MARUTI_ohlcv.csv,1936,0.17405255730117952,0.21238856404757978,0.21472390110125902,,0.2556998399317629,0.30839665173313835,0.46318944326924644,0.3083566158631285,0.0
DRREDDY_NS,DRREDDY_ohlcv.csv,1936,0.17512707379084766,0.16915797110525682,0.3128209194477457,,0.2532239805300429,0.32618695659572244,0.17034714126877518,0.5248923101118392,0.0
NESTLEIND,NESTLEIND_ohlcv.csv,1936,0.17821967044990167,0.16767816047594697,0.28933315812231136,,0.2509298212567959,0.3773897421374987,0.16032296344197486,0.4730463030600552,0.0
INFY_NS,INFY_ohlcv.csv,1936,0.1728056027146497,0.17261115769416366,0.31450923676226383,,0.24934396649426907,0.28775136386881306,0.19373888866585112,0.5286190386910917,0.0
ITC,ITC_ohlcv.csv,1936,0.1734822306643881,0.20182127542650458,0.22874604749272207,2.695198730862103e-09,0.24597345687805422,0.2989540002360863,0.3916070541535638,0.3393085780625102,2.695198730862103e-09
KOTAKBANK_NS,KOTAKBANK_ohlcv.csv,1936,0.16630587124923243,0.1956875254430952,0.28981763878523215,,0.24122190285946307,0.18013812069707114,0.3500572778774571,0.474115727579413,0.0
LT_NS,LT_ohlcv.csv,1936,0.16701427471213043,0.21958189559863203,0.22043996276150976,,0.2395567425740647,0.19186685049493393,0.5119167825697555,0.3209740368697392,0.0
ADANIPORTS_NS,ADANIPORTS_ohlcv.csv,1936,0.17044795237646848,0.20430381071024187,0.23142452055308252,,0.238244140398615,0.24871676674636908,0.40842364855598046,0.3452209394515492,0.0
TRENT_NS,TRENT_ohlcv.csv,1936,0.19611014634002807,0.15927178406540782,0.1522903613884002,,0.23722306338128968,0.6735946150104677,0.10337850693569627,0.17054315227366654,0.0
TCS_NS,TCS_ohlcv.csv,1936,0.1823998696642111,0.17451042541322606,0.2003620428140554,,0.22833328723960689,0.4465994928709355,0.20660445198827573,0.2766547863137638,0.0
ADANIENT_NS,ADANIENT_ohlcv.csv,1936,0.16098800550032388,0.18928378199545082,0.3228766259641713,,0.22816045919091293,0.09209251711531845,0.30667857670788096,0.5470889010826747,0.0
TATACONSUM_NS,TATACONSUM_ohlcv.csv,1936,0.18266911487086313,0.1560008117430024,0.2427727676575574,,0.22669809364873733,0.4510572693268449,0.08122107166870823,0.37027063623839757,0.0
HINDUNILVR_NS,HINDUNILVR_ohlcv.csv,1936,0.1732806020565727,0.14804982626969676,0.33103475638295377,,0.22529600759363005,0.29561572256743734,0.02736141509907488,0.5650968534524712,0.0
MARUTI,MARUTI_ohlcv.csv,1936,0.17405255730117952,0.23256085359035789,0.10758078808887836,,0.2244287294633071,0.30839665173313835,0.5998357232360406,0.07185291013214978,0.0
CIPLA_NS,CIPLA_ohlcv.csv,1936,0.17020055431539374,0.15353055967186993,0.32493873065281775,,0.21675029427735418,0.24462070403234676,0.06448768325562318,0.5516407139501406,0.0
VEDL_NS,VEDL_ohlcv.csv,1936,0.18776291592387298,0.15822039643391245,0.17780915916802462,,0.21483220408841358,0.5353931306316678,0.09625644930598236,0.2268723933326159,0.0
TCS,TCS_ohlcv.csv,1936,0.1823998696642111,0.1586217366962774,0.17759848969101588,,0.19264896120824684,0.4465994928709355,0.09897511213980546,0.2264073693978417,0.0
TATAMOTORS,TATAMOTORS_ohlcv.csv,1935,0.16277088274849932,0.21514182078588606,0.15974162383262022,,0.18108439449397043,0.12161084473763548,0.4818398939424451,0.18699079067883842,0.0
TATAMOTORS_NS,TATAMOTORS_ohlcv.csv,1935,0.16277088274849932,0.20665935183586606,0.16629052604179317,,0.17256039436920426,0.12161084473763548,0.42437998962687173,0.20144659280547836,0.0
ICICIBANK_NS,ICICIBANK_ohlcv.csv,1936,0.16963099905863904,0.17026368227286162,0.1755308089558377,,0.15433409006409107,0.23519082394099247,0.1778371843524086,0.2218432481735341,0.0
ADANIENT,ADANIENT_ohlcv.csv,1936,0.16098800550032388,0.1861425370835987,0.19497845802845049,,0.151647744575958,0.09209251711531845,0.28539990971477885,0.26477126234180903,0.0
ICICIBANK,ICICIBANK_ohlcv.csv,1936,0.16963099905863904,0.17915740547410122,0.1455298729520716,,0.1502494553197788,0.23519082394099247,0.238082908464516,0.15562030261221985,0.0
SBILIFE,SBILIFE_ohlcv.csv,1936,0.15542571025132154,0.1440106209008217,0.3394291565459561,,0.14882471640182363,0.0,0.0,0.5836263388306809,0.0
SBILIFE_NS,SBILIFE_ohlcv.csv,1936,0.15542571025132154,0.15770326285709205,0.3031282239851861,,0.14810183815781294,0.0,0.09275340720614651,0.5034970161823796,0.0
