Stock,Date,Open,High,Low,Close,Volume,Returns,Volume_Ratio,Combined_Suspiciousness,IsoForest_Anomaly,WaveLSTM_Anomaly,Pattern_Anomaly
SHRIRAMFIN,2020-05-04,131.51951744742976,135.7672442270255,122.66860686134548,132.834716796875,29957456,-0.04302206705200273,1.0390520648623052,0.17858743193572962,1,0,0
HDFCBANK,2021-01-28,658.2396825593556,663.6385949413054,635.5548157983885,649.501953125,42704446,-0.02706433992185564,1.6638416771124525,0.17850604910162227,0,0,0
BHARTIARTL,2022-06-08,667.0480969094383,672.2280921782194,645.4973241707187,648.2827758789062,13904149,-0.032102781974407524,1.791694015136044,0.17806008746759147,0,0,0
HDFCBANK,2020-04-01,409.10881994288405,409.10881994288405,388.3420059433593,392.9121398925781,29103504,-0.03741737267575507,0.6741224996332381,0.17797252321707274,1,0,0
BAJFINANCE,2020-04-03,222.24334526823105,229.5802654458098,213.8435772957696,216.23861694335932,61726720,-0.005339327934767102,0.8017904947407646,0.1776306342265818,1,0,0
SHRIRAMFIN,2024-06-03,479.63592965565175,498.6158229249172,474.7906159684553,491.2156982421875,15161795,0.06588638394330837,1.744409088676018,0.176596118111554,0,0,0
SHRIRAMFIN,2024-06-25,564.4532001664651,587.3092963864965,560.2245660631794,585.3222045898438,15844875,0.037331933770718306,1.6853017447823573,0.17657272436364962,0,0,0
SHRIRAMFIN,2024-10-17,665.0342430666706,666.4021142656538,638.8481646618973,641.3378295898438,8237815,-0.03887445357639174,1.9899329548076028,0.17647580716199912,0,0,0
BHARTIARTL,2024-04-18,1203.1804169804218,1264.177695190026,1199.038368617902,1248.2996826171875,19939924,0.04052779810848306,2.277472759483089,0.17633316000446878,0,0,0
BAJFINANCE,2019-01-29,240.779806892272,250.7407607599192,231.37982406372308,245.41880798339844,61188330,0.023205093248262587,2.7448148767195035,0.17619178401333155,0,0,0
BAJFINANCE,2020-04-24,207.03072547093083,207.03072547093083,192.97888764818208,193.58621215820312,104944510,-0.09031267775640783,1.3288037011024671,0.17614300217090825,1,0,0
HINDUNILVR,2022-06-17,2046.75246167954,2047.1313973769943,1989.898226632886,1999.80029296875,3252189,-0.016886292061578212,1.7771588684418207,0.17579704406553176,0,0,0
HINDUNILVR,2020-03-13,1794.151796226387,1930.762339086264,1719.562417590105,1851.7103271484373,3667035,-0.011065429997360487,1.2103243810010655,0.17496198190660156,1,0,0
HDFCBANK,2020-04-29,442.804580491512,470.1306015606987,442.3783399213504,462.74261474609375,55877778,0.04906573674362913,1.4946490932597332,0.17463750624674734,1,0,0
SHRIRAMFIN,2019-07-23,184.8234651550042,184.85885211608044,172.72898053856494,173.5518035888672,18067890,-0.05533353382979056,1.7676537124554248,0.17459634184892497,0,0,0
BHARTIARTL,2022-05-18,704.6764680920681,710.687255169435,673.5964360763676,680.3890991210938,18992703,-0.015416130507257653,1.9806367181814073,0.17430922016095657,0,0,0
BAJFINANCE,2020-04-01,213.54480426315175,224.0163385701367,208.9065713341452,217.39938354492188,64083010,0.001602002376430267,0.8563469325030401,0.1739453847086264,1,0,0
HINDUNILVR,2020-03-27,2039.1400358110168,2065.2325605502824,1931.217706984038,1949.47802734375,2918646,-0.02476187917217154,0.7506025222377858,0.1737684411624248,1,0,0
BAJFINANCE,2020-03-17,362.6441598286682,365.8375460953157,333.2474823697232,337.44488525390625,25585480,-0.06192388254826575,0.6872188660104944,0.17348045016950203,1,0,0
SHRIRAMFIN,2025-01-20,506.3552769303298,516.7598374151996,488.8657122585627,512.0034790039062,12701612,-0.018613511900005708,1.7988897132202917,0.17342000609212044,0,0,0
BHARTIARTL,2021-09-24,699.4127467569435,722.3891754288528,698.4054408821937,709.342041015625,72175065,0.01733624164399039,2.5136053752957634,0.17321928768139264,0,0,0
SHRIRAMFIN,2023-04-28,256.86916395092044,259.72326577259736,249.06794069163357,253.5583953857422,15378245,-0.05190128071926137,1.905046148753762,0.17313474756493397,0,0,0
BHARTIARTL,2020-03-12,457.4055720775573,460.2733079900418,438.9563878247566,444.4529113769531,14471096,-0.05842438923439086,0.9597979767001252,0.1726080368533379,1,0,0
BAJFINANCE,2025-01-30,780.1858499375447,820.0051467305362,780.1858499375447,785.3191528320312,56488830,0.018299713092788883,2.56412324641703,0.172410746374472,0,0,0
SHRIRAMFIN,2020-04-01,114.6530548920173,118.88300411954138,107.89045643371828,110.4853057861328,14566228,-0.059032824329073086,0.7927703437082956,0.17236932401091093,1,0,0
BAJFINANCE,2020-04-07,219.91196223748616,223.9281777716055,203.89609620265767,220.7299041748047,111614780,0.020770051598238748,1.313612160573612,0.172047633430682,1,0,0
HDFCBANK,2020-01-20,617.9610470531414,617.9610470531414,593.1687365718038,594.3053588867188,22178450,-0.018190366888758858,1.6821888891258714,0.17144913096087544,0,0,0
HDFCBANK,2020-04-03,399.2345085366726,399.70809632853104,383.60611140534377,385.4294128417969,34996280,-0.019044275528944055,0.9028257300859742,0.17133147943589028,1,0,0
HINDUNILVR,2018-07-17,1580.443012027886,1592.0704931576893,1501.0183280221445,1504.1488037109375,6188478,-0.03971486936305335,2.5757759903942796,0.17092102468660703,1,0,0
HDFCBANK,2020-04-13,442.3310049740229,448.3455758120512,419.6935139266889,424.0268249511719,34158056,-0.03210636045181847,0.7417812045502858,0.17076428295805277,1,0,0
SHRIRAMFIN,2020-02-06,201.27824248137105,219.4066113722052,200.90499997830253,216.6073760986328,31541240,0.075731423856223,1.5302503413454525,0.1707519188818224,0,0,0
SHRIRAMFIN,2025-02-27,578.7039095273482,606.0810948812037,577.7083755144807,604.0900268554688,17099035,0.05668257514497954,1.909895452007516,0.17025631351575732,0,0,0
BHARTIARTL,2020-04-09,450.2361774652168,470.5971845240717,450.2361774652168,467.1558837890625,11962829,0.05859417383880805,0.9170846988543798,0.17003181443156437,1,0,0
SHRIRAMFIN,2025-10-01,616.0499877929688,649.9500122070312,616.0499877929688,648.7000122070312,15107673,0.05291354960709049,2.2666231556020064,0.16947440126206864,0,0,0
HDFCBANK,2025-06-26,977.4872979366618,1000.03252920567,976.7966216145232,997.4179077148438,50084830,0.02100796522285253,1.8446634517322658,0.1693847674140953,0,0,0
